,CPII
1961-12-31,9.893233333333335
1962-01-31,9.893233333333335
1962-02-28,9.860365448504984
1962-03-31,9.860365448504984
1962-04-30,9.82771523178808
1962-05-31,9.82771523178808
1962-06-30,9.82771523178808
1962-07-31,9.795280528052805
1962-08-31,9.795280528052805
1962-09-30,9.763059210526317
1962-10-31,9.763059210526317
1962-11-30,9.763059210526317
1962-12-31,9.763059210526317
1963-01-31,9.763059210526317
1963-02-28,9.763059210526317
1963-03-31,9.73104918032787
1963-04-30,9.73104918032787
1963-05-31,9.73104918032787
1963-06-30,9.699248366013073
1963-07-31,9.667654723127036
1963-08-31,9.667654723127036
1963-09-30,9.667654723127036
1963-10-31,9.636266233766234
1963-11-30,9.636266233766234
1963-12-31,9.605080906148869
1964-01-31,9.605080906148869
1964-02-29,9.605080906148869
1964-03-31,9.605080906148869
1964-04-30,9.605080906148869
1964-05-31,9.605080906148869
1964-06-30,9.57409677419355
1964-07-31,9.54331189710611
1964-08-31,9.57409677419355
1964-09-30,9.54331189710611
1964-10-31,9.54331189710611
1964-11-30,9.51272435897436
1964-12-31,9.51272435897436
1965-01-31,9.51272435897436
1965-02-28,9.51272435897436
1965-03-31,9.482332268370607
1965-04-30,9.452133757961784
1965-05-31,9.452133757961784
1965-06-30,9.392310126582279
1965-07-31,9.392310126582279
1965-08-31,9.392310126582279
1965-09-30,9.392310126582279
1965-10-31,9.36268138801262
1965-11-30,9.36268138801262
1965-12-31,9.333238993710692
1966-01-31,9.333238993710692
1966-02-28,9.27490625
1966-03-31,9.246012461059191
1966-04-30,9.188761609907122
1966-05-31,9.188761609907122
1966-06-30,9.160401234567903
1966-07-31,9.132215384615385
1966-08-31,9.076360856269114
1966-09-30,9.076360856269114
1966-10-31,9.021185410334347
1966-11-30,9.021185410334347
1966-12-31,9.021185410334347
1967-01-31,9.021185410334347
1967-02-28,9.021185410334347
1967-03-31,8.993848484848485
1967-04-30,8.966676737160121
1967-05-31,8.939668674698796
1967-06-30,8.912822822822825
1967-07-31,8.886137724550899
1967-08-31,8.859611940298509
1967-09-30,8.833244047619049
1967-10-31,8.807032640949554
1967-11-30,8.780976331360948
1967-12-31,8.755073746312686
1968-01-31,8.703724340175954
1968-02-29,8.67827485380117
1968-03-31,8.652973760932946
1968-04-30,8.627819767441862
1968-05-31,8.6028115942029
1968-06-30,8.553227665706052
1968-07-31,8.504212034383956
1968-08-31,8.479914285714287
1968-09-30,8.455754985754986
1968-10-31,8.407847025495752
1968-11-30,8.384096045197742
1968-12-31,8.360478873239437
1969-01-31,8.336994382022473
1969-02-28,8.29041899441341
1969-03-31,8.221523545706372
1969-04-30,8.176225895316806
1969-05-31,8.153763736263738
1969-06-30,8.109207650273225
1969-07-31,8.06513586956522
1969-08-31,8.021540540540542
1969-09-30,7.999919137466308
1969-10-31,7.957024128686329
1969-11-30,7.9145866666666675
1969-12-31,7.872599469496022
1970-01-31,7.851772486772488
1970-02-28,7.810447368421054
1970-03-31,7.76955497382199
1970-04-30,7.709012987012987
1970-05-31,7.689041450777203
1970-06-30,7.649407216494847
1970-07-31,7.6101794871794874
1970-08-31,7.6101794871794874
1970-09-30,7.571352040816326
1970-10-31,7.532918781725889
1970-11-30,7.494873737373738
1970-12-31,7.4572110552763835
1971-01-31,7.4572110552763835
1971-02-28,7.438521303258146
1971-03-31,7.419925000000001
1971-04-30,7.40142144638404
1971-05-31,7.3646898263027305
1971-06-30,7.310270935960592
1971-07-31,7.292309582309582
1971-08-31,7.274436274509805
1971-09-30,7.274436274509805
1971-10-31,7.256650366748167
1971-11-30,7.256650366748167
1971-12-31,7.221338199513382
1972-01-31,7.221338199513382
1972-02-29,7.1863680387409214
1972-03-31,7.16900966183575
1972-04-30,7.151734939759037
1972-05-31,7.13454326923077
1972-06-30,7.117434052757794
1972-07-31,7.08346062052506
1972-08-31,7.066595238095239
1972-09-30,7.049809976247031
1972-10-31,7.0164775413711595
1972-11-30,6.9999292452830195
1972-12-31,6.983458823529412
1973-01-31,6.967065727699531
1973-02-28,6.918344988344989
1973-03-31,6.854434180138569
1973-04-30,6.807270642201836
1973-05-31,6.760751708428247
1973-06-30,6.7148642533936655
1973-07-31,6.699706546275396
1973-08-31,6.580864745011087
1973-09-30,6.566305309734513
1973-10-31,6.508706140350878
1973-11-30,6.466165577342049
1973-12-31,6.424177489177489
1974-01-31,6.369034334763949
1974-02-28,6.288072033898305
1974-03-31,6.209142259414227
1974-04-30,6.183270833333334
1974-05-31,6.1069341563786015
1974-06-30,6.057081632653062
1974-07-31,6.008036437246965
1974-08-31,5.93594
1974-09-30,5.865553359683795
1974-10-31,5.808160469667319
1974-11-30,5.763048543689321
1974-12-31,5.718631984585742
1975-01-31,5.696679462571978
1975-02-28,5.653276190476191
1975-03-31,5.631821631878558
1975-04-30,5.610529300567109
1975-05-31,5.578890977443609
1975-06-30,5.537257462686568
1975-07-31,5.475959409594096
1975-08-31,5.465874769797423
1975-09-30,5.435842490842491
1975-10-31,5.406138433515483
1975-11-30,5.367034358047017
1975-12-31,5.347693693693694
1976-01-31,5.3380755395683455
1976-02-29,5.31894265232975
1976-03-31,5.309427549194992
1976-04-30,5.290499108734403
1976-05-31,5.253044247787611
1976-06-30,5.225299295774649
1976-07-31,5.197845884413311
1976-08-31,5.170679442508711
1976-09-30,5.152725694444444
1976-10-31,5.126027633851469
1976-11-30,5.117189655172414
1976-12-31,5.0996048109965635
1977-01-31,5.073452991452992
1977-02-28,5.021945854483926
1977-03-31,4.988184873949581
1977-04-30,4.946616666666667
1977-05-31,4.922006633499172
1977-06-30,4.889571663920923
1977-07-31,4.865524590163935
1977-08-31,4.8496241830065365
1977-09-30,4.833827361563518
1977-10-31,4.818133116883117
1977-11-30,4.794781906300485
1977-12-31,4.779339774557166
1978-01-31,4.7487520000000005
1978-02-28,4.718553259141495
1978-03-31,4.68134069400631
1978-04-30,4.644710485133021
1978-05-31,4.601503875968993
1978-06-30,4.552101226993865
1978-07-31,4.517458143074582
1978-08-31,4.496924242424242
1978-09-30,4.463112781954887
1978-10-31,4.4232041728763045
1978-11-30,4.403516320474777
1978-12-31,4.384002954209749
1979-01-31,4.345490483162519
1979-02-28,4.295180897250362
1979-03-31,4.252106017191978
1979-04-30,4.203923512747876
1979-05-31,4.151006993006994
1979-06-30,4.105076071922546
1979-07-31,4.06015047879617
1979-08-31,4.021639566395664
1979-09-30,3.9785120643431644
1979-10-31,3.946768617021277
1979-11-30,3.910368906455863
1979-12-31,3.8695827900912647
1980-01-31,3.81487146529563
1980-02-29,3.7616856780735106
1980-03-31,3.7053308364544324
1980-04-30,3.664160493827161
1980-05-31,3.6283251833740837
1980-06-30,3.588839177750907
1980-07-31,3.588839177750907
1980-08-31,3.5629891956782718
1980-09-30,3.5332976190476195
1980-10-31,3.4999646226415098
1980-11-30,3.471309941520468
1980-12-31,3.4391309385863273
1981-01-31,3.4114597701149427
1981-02-28,3.376530147895336
1981-03-31,3.3536384180790964
1981-04-30,3.331054994388328
1981-05-31,3.3050890868596885
1981-06-30,3.275905077262694
1981-07-31,3.2401419213973806
1981-08-31,3.2155687973997837
1981-09-30,3.1845171673819745
1981-10-31,3.177698072805139
1981-11-30,3.1675240128068305
1981-12-31,3.1574148936170214
1982-01-31,3.147370095440085
1982-02-28,3.137389006342495
1982-03-31,3.140708994708995
1982-04-30,3.1274710221285567
1982-05-31,3.0980897703549064
1982-06-30,3.0597628865979383
1982-07-31,3.0440717948717952
1982-08-31,3.037840327533265
1982-09-30,3.0316343207354444
1982-10-31,3.0223727087576377
1982-11-30,3.028540816326531
1982-12-31,3.0409528688524596
1983-01-31,3.0347341513292436
1983-02-28,3.0316343207354444
1983-03-31,3.0316343207354444
1983-04-30,3.0101115618661263
1983-05-31,2.991905241935484
1983-06-30,2.982884422110553
1983-07-31,2.970940940940941
1983-08-31,2.962045908183633
1983-09-30,2.94733862959285
1983-10-31,2.938584158415842
1983-11-30,2.9327766798418975
1983-12-31,2.929881539980257
1984-01-31,2.912630029440628
1984-02-29,2.8984082031250002
1984-03-31,2.89275828460039
1984-04-30,2.8787293889427743
1984-05-31,2.870377176015474
1984-06-30,2.862073288331726
1984-07-31,2.851075888568684
1984-08-31,2.8401626794258377
1984-09-30,2.8266380952380956
1984-10-31,2.8185849952516624
1984-11-30,2.8185849952516624
1984-12-31,2.8185849952516624
1985-01-31,2.8132417061611377
1985-02-28,2.799971698113208
1985-03-31,2.7894454887218045
1985-04-30,2.776398503274088
1985-05-31,2.766048462255359
1985-06-30,2.758336431226766
1985-07-31,2.75321892393321
1985-08-31,2.7481203703703705
1985-09-30,2.740507848568791
1985-10-31,2.730423183072677
1985-11-30,2.7229082568807343
1985-12-31,2.7154345837145475
1986-01-31,2.7080018248175186
1986-02-28,2.7154345837145475
1986-03-31,2.7279136029411766
1986-04-30,2.7329373848987113
1986-05-31,2.725408631772268
1986-06-30,2.710474885844749
1986-07-31,2.710474885844749
1986-08-31,2.7055332725615315
1986-09-30,2.693257713248639
1986-10-31,2.690815956482321
1986-11-30,2.688378623188406
1986-12-31,2.685945701357466
1987-01-31,2.6690377697841727
1987-02-28,2.659471326164875
1987-03-31,2.6476092774308655
1987-04-30,2.633513753327418
1987-05-31,2.6241998231653407
1987-06-30,2.6149515418502203
1987-07-31,2.6080579964850616
1987-08-31,2.5943793706293707
1987-09-30,2.58084347826087
1987-10-31,2.5741283607979186
1987-11-30,2.571897746967071
1987-12-31,2.571897746967071
1988-01-31,2.5652290406222993
1988-02-29,2.558594827586207
1988-03-31,2.5476137339055795
1988-04-30,2.534560204953032
1988-05-31,2.5259319148936172
1988-06-30,2.515228813559322
1988-07-31,2.5046160337552745
1988-08-31,2.4940924369747903
1988-09-30,2.4774373956594324
1988-10-31,2.469193011647255
1988-11-30,2.4671404821280136
1988-12-31,2.463045643153527
1989-01-31,2.4508422791081754
1989-02-28,2.440764802631579
1989-03-31,2.4267947669664762
1989-04-30,2.4110235580828596
1989-05-31,2.3973909531502424
